Address1,Address2,Distance
"Via Filadelfia, 73, Torino","Via Pessinetto 12, Torino",5.3
"Corso Massimo D'Azeglio, 15/b, Torino","Via Pessinetto 12, Torino",4.84
"Via Pessinetto 12, Torino","Via Pietro Giuria, 15, Torino",4.75
"Via Michelangelo, 25, Torino","Via Pessinetto 12, Torino",6.61
"Via Pessinetto 12, Torino","Via Sant'Ottavio, 54, Torino",3.67
"Corso Regina Margherita, 60, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.23
"Corso S.Maurizio 31/a, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.01
"Lungo Dora Siena, 100, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.43
"Largo Paolo Braccini, 2, Grugliasco","Viale Pier Andrea Mattioli, 39,Torino",7.5
"Via Quarello, 15/A, Torino","Viale Pier Andrea Mattioli, 39,Torino",6.76
"Via Po, 30, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.51
"Via XX Settembre, 15, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.33
"Piazza Castello, 9, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.75
"Via Nizza, 262, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.86
"Via San Giacomo, 2, Beinasco","Viale Pier Andrea Mattioli, 39,Torino",7.58
"Via Sant'Ottavio, 18, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.62
"Corso Massimo D'Azeglio, 50, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.57
"Corso Massimo D'Azeglio, 52, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.65
"Corso Raffaello, 30, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.54
"Via Pietro Giuria, 7, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.46
"Via Pietro Giuria, 1, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.37
"Via Pessinetto, 12, Torino","Viale Pier Andrea Mattioli, 39,Torino",4.48
"Via Michelangelo, 27, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.59
"Via Valperga Caluso, 35, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.34
"Viale Pier Andrea Mattioli, 25, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.13
"Via Pietro Giuria, 9, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.47
"Via Gabriele Chiabrera, 27, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.1
"Via Po, 18, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.6
"Corso Regina Margherita, 211, Torino","Viale Pier Andrea Mattioli, 39,Torino",3.65
"Via Montebello, 28 bis, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.98
"Corso Massimo D'Azeglio, 42, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.28
"Via Antonio Rosmini, 4/a, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.16
"Via Nizza, 230, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.81
"Via Nizza, 52, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.0
"Corso Bramante, 88, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.64
"Corso Achille Mario Dogliotti, 14, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.69
"Corso Dogliotti, 38, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.84
"Via Cherasco, 11, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.95
"Via Cherasco, 15, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.0
"Via Genova, 3, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.76
"Via Santena, 5 bis, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.08
"Via Santena, 7, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.07
"Via Santena, 9, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.06
"Via Zuretti, 29, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.5
"Via Juvarra, 19, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.52
"Largo Polonia, 94, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.28
"Via Cherasco, 23, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.12
"Via Ventimiglia, 3, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.34
"Via Ventimiglia, 145, Torino","Viale Pier Andrea Mattioli, 39,Torino",3.65
"Via Giulia di Barolo, 3/a, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.57
"Via dell'Arsenale, 22, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.49
"Via Verdi, 10, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.69
"Via Carlo Alberto, 10, Torino","Viale Pier Andrea Mattioli, 39,Torino",12.02
"Via Sant'Ottavio, 20, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.68
"Corso Galileo Ferraris, 29, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.69
"Via Verdi, 25, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.69
"Via Plana, 10, Torino","Viale Pier Andrea Mattioli, 39,Torino",1.22
"Via XX Settembre, 83, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.07
"Regione Gonzole, 10, Orbassano","Viale Pier Andrea Mattioli, 39,Torino",10.47
"Via Ventimiglia, 115, Torino","Viale Pier Andrea Mattioli, 39,Torino",3.33
"Corso Unione Sovietica, 218 bis, Torino","Viale Pier Andrea Mattioli, 39,Torino",3.21
"Via Filadelfia, 73, Torino","Viale Pier Andrea Mattioli, 39,Torino",4.1
"Corso Massimo D'Azeglio, 15/b, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.62
"Via Pietro Giuria, 15, Torino","Viale Pier Andrea Mattioli, 39,Torino",0.66
"Via Michelangelo, 25, Torino","Viale Pier Andrea Mattioli, 39,Torino",8.14
"Via Sant'Ottavio, 54, Torino","Viale Pier Andrea Mattioli, 39,Torino",2.1
"Corso Regina Margherita, 60, Torino","Via Sant'Ottavio, 18, Torino",0.61
"Corso S.Maurizio 31/a, Torino","Via Sant'Ottavio, 18, Torino",0.45
"Largo Paolo Braccini, 2, Grugliasco","Via Sant'Ottavio, 18, Torino",8.06
"Via Quarello, 15/A, Torino","Via Sant'Ottavio, 18, Torino",8.23
"Via Po, 30, Torino","Via Sant'Ottavio, 18, Torino",0.21
"Via Sant'Ottavio, 18, Torino","Via XX Settembre, 15, Torino",1.2
"Piazza Castello, 9, Torino","Via Sant'Ottavio, 18, Torino",0.64
"Via Nizza, 262, Torino","Via Sant'Ottavio, 18, Torino",4.48
"Via San Giacomo, 2, Beinasco","Via Sant'Ottavio, 18, Torino",8.83
"Via Sant'Ottavio, 18, Torino","Via Sant'Ottavio, 18, Torino",0.0
"Corso Massimo D'Azeglio, 50, Torino","Via Sant'Ottavio, 18, Torino",2.18
"Corso Massimo D'Azeglio, 52, Torino","Via Sant'Ottavio, 18, Torino",2.27
"Corso Raffaello, 30, Torino","Via Sant'Ottavio, 18, Torino",2.15
"Via Pietro Giuria, 7, Torino","Via Sant'Ottavio, 18, Torino",2.06
"Via Pessinetto, 12, Torino","Via Sant'Ottavio, 18, Torino",3.73
"Via Michelangelo, 27, Torino","Via Sant'Ottavio, 18, Torino",2.21
"Via Sant'Ottavio, 18, Torino","Via Valperga Caluso, 35, Torino",1.92
"Via Sant'Ottavio, 18, Torino","Viale Pier Andrea Mattioli, 25, Torino",1.49
"Via Pietro Giuria, 9, Torino","Via Sant'Ottavio, 18, Torino",2.08
"Via Gabriele Chiabrera, 27, Torino","Via Sant'Ottavio, 18, Torino",2.72
"Via Po, 18, Torino","Via Sant'Ottavio, 18, Torino",0.34
"Corso Regina Margherita, 211, Torino","Via Sant'Ottavio, 18, Torino",2.99
"Via Montebello, 28 bis, Torino","Via Sant'Ottavio, 18, Torino",0.38
"Corso Massimo D'Azeglio, 42, Torino","Via Sant'Ottavio, 18, Torino",1.87
"Via Antonio Rosmini, 4/a, Torino","Via Sant'Ottavio, 18, Torino",2.66
"Via Nizza, 230, Torino","Via Sant'Ottavio, 18, Torino",4.42
"Via Nizza, 52, Torino","Via Sant'Ottavio, 18, Torino",2.49
"Corso Bramante, 88, Torino","Via Sant'Ottavio, 18, Torino",3.26
"Corso Achille Mario Dogliotti, 14, Torino","Via Sant'Ottavio, 18, Torino",3.31
"Corso Dogliotti, 38, Torino","Via Sant'Ottavio, 18, Torino",3.46
"Via Cherasco, 11, Torino","Via Sant'Ottavio, 18, Torino",3.57
"Via Cherasco, 15, Torino","Via Sant'Ottavio, 18, Torino",3.62
"Via Genova, 3, Torino","Via Sant'Ottavio, 18, Torino",3.37
"Via Sant'Ottavio, 18, Torino","Via Santena, 5 bis, Torino",3.71
"Via Sant'Ottavio, 18, Torino","Via Santena, 7, Torino",3.69
"Via Sant'Ottavio, 18, Torino","Via Santena, 9, Torino",3.69
"Via Sant'Ottavio, 18, Torino","Via Zuretti, 29, Torino",4.12
"Via Juvarra, 19, Torino","Via Sant'Ottavio, 18, Torino",2.0
"Largo Polonia, 94, Torino","Via Sant'Ottavio, 18, Torino",3.91
"Via Cherasco, 23, Torino","Via Sant'Ottavio, 18, Torino",3.74
"Via Sant'Ottavio, 18, Torino","Via Ventimiglia, 3, Torino",3.97
"Via Sant'Ottavio, 18, Torino","Via Ventimiglia, 145, Torino",5.27
"Via Giulia di Barolo, 3/a, Torino","Via Sant'Ottavio, 18, Torino",0.13
"Via Sant'Ottavio, 18, Torino","Via dell'Arsenale, 22, Torino",1.23
"Via Sant'Ottavio, 18, Torino","Via Verdi, 10, Torino",0.39
"Via Carlo Alberto, 10, Torino","Via Sant'Ottavio, 18, Torino",12.06
"Corso Galileo Ferraris, 29, Torino","Via Sant'Ottavio, 18, Torino",2.72
"Via Sant'Ottavio, 18, Torino","Via Verdi, 25, Torino",0.25
"Via Plana, 10, Torino","Via Sant'Ottavio, 18, Torino",0.4
"Via Sant'Ottavio, 18, Torino","Via XX Settembre, 83, Torino",0.99
"Regione Gonzole, 10, Orbassano","Via Sant'Ottavio, 18, Torino",11.59
"Via Sant'Ottavio, 18, Torino","Via Ventimiglia, 115, Torino",4.95
"Corso Unione Sovietica, 218 bis, Torino","Via Sant'Ottavio, 18, Torino",4.68
"Via Filadelfia, 73, Torino","Via Sant'Ottavio, 18, Torino",5.27
"Corso Massimo D'Azeglio, 15/b, Torino","Via Sant'Ottavio, 18, Torino",2.24
"Via Pietro Giuria, 15, Torino","Via Sant'Ottavio, 18, Torino",2.27
"Via Michelangelo, 25, Torino","Via Sant'Ottavio, 18, Torino",8.75
"Via Sant'Ottavio, 18, Torino","Via Sant'Ottavio, 54, Torino",0.48
"Corso Regina Margherita, 60, Torino","corso Unione Sovietica, 218bis, Torino",5.26
"Corso S.Maurizio 31/a, Torino","corso Unione Sovietica, 218bis, Torino",4.95
"Lungo Dora Siena, 100, Torino","corso Unione Sovietica, 218bis, Torino",5.46
"Largo Paolo Braccini, 2, Grugliasco","corso Unione Sovietica, 218bis, Torino",5.7
"Via Quarello, 15/A, Torino","corso Unione Sovietica, 218bis, Torino",3.56
"Via Po, 30, Torino","corso Unione Sovietica, 218bis, Torino",4.51
"Via XX Settembre, 15, Torino","corso Unione Sovietica, 218bis, Torino",3.73
"Piazza Castello, 9, Torino","corso Unione Sovietica, 218bis, Torino",4.5
"Via Nizza, 262, Torino","corso Unione Sovietica, 218bis, Torino",1.31
"Via San Giacomo, 2, Beinasco","corso Unione Sovietica, 218bis, Torino",4.51
"Via Sant'Ottavio, 18, Torino","corso Unione Sovietica, 218bis, Torino",4.68
"Corso Massimo D'Azeglio, 50, Torino","corso Unione Sovietica, 218bis, Torino",2.68
"Corso Massimo D'Azeglio, 52, Torino","corso Unione Sovietica, 218bis, Torino",2.61
"Corso Raffaello, 30, Torino","corso Unione Sovietica, 218bis, Torino",2.69
"Via Pietro Giuria, 7, Torino","corso Unione Sovietica, 218bis, Torino",2.75
"Via Pietro Giuria, 1, Torino","corso Unione Sovietica, 218bis, Torino",2.84
"Via Pessinetto, 12, Torino","corso Unione Sovietica, 218bis, Torino",5.8
"Via Michelangelo, 27, Torino","corso Unione Sovietica, 218bis, Torino",2.66
"Via Valperga Caluso, 35, Torino","corso Unione Sovietica, 218bis, Torino",2.87
"Viale Pier Andrea Mattioli, 25, Torino","corso Unione Sovietica, 218bis, Torino",3.32
"Via Pietro Giuria, 9, Torino","corso Unione Sovietica, 218bis, Torino",2.75
"Via Gabriele Chiabrera, 27, Torino","corso Unione Sovietica, 218bis, Torino",2.37
"Via Po, 18, Torino","corso Unione Sovietica, 218bis, Torino",4.52
"Corso Regina Margherita, 211, Torino","corso Unione Sovietica, 218bis, Torino",5.1
"Via Montebello, 28 bis, Torino","corso Unione Sovietica, 218bis, Torino",4.96
"Corso Massimo D'Azeglio, 42, Torino","corso Unione Sovietica, 218bis, Torino",2.94
"Via Antonio Rosmini, 4/a, Torino","corso Unione Sovietica, 218bis, Torino",2.06
"Via Nizza, 230, Torino","corso Unione Sovietica, 218bis, Torino",1.27
"Via Nizza, 52, Torino","corso Unione Sovietica, 218bis, Torino",2.22
"Corso Bramante, 88, Torino","corso Unione Sovietica, 218bis, Torino",1.85
"Corso Achille Mario Dogliotti, 14, Torino","corso Unione Sovietica, 218bis, Torino",1.96
"Corso Dogliotti, 38, Torino","corso Unione Sovietica, 218bis, Torino",1.93
"Via Cherasco, 11, Torino","corso Unione Sovietica, 218bis, Torino",1.68
"Via Cherasco, 15, Torino","corso Unione Sovietica, 218bis, Torino",1.66
"Via Genova, 3, Torino","corso Unione Sovietica, 218bis, Torino",1.69
"Via Santena, 5 bis, Torino","corso Unione Sovietica, 218bis, Torino",1.79
"Via Santena, 7, Torino","corso Unione Sovietica, 218bis, Torino",1.85
"Via Santena, 9, Torino","corso Unione Sovietica, 218bis, Torino",1.86
"Via Zuretti, 29, Torino","corso Unione Sovietica, 218bis, Torino",1.81
"Via Juvarra, 19, Torino","corso Unione Sovietica, 218bis, Torino",4.31
"Largo Polonia, 94, Torino","corso Unione Sovietica, 218bis, Torino",1.88
"Via Cherasco, 23, Torino","corso Unione Sovietica, 218bis, Torino",1.63
"Via Ventimiglia, 3, Torino","corso Unione Sovietica, 218bis, Torino",1.73
"Via Ventimiglia, 145, Torino","corso Unione Sovietica, 218bis, Torino",2.14
"Via Giulia di Barolo, 3/a, Torino","corso Unione Sovietica, 218bis, Torino",4.67
"Via dell'Arsenale, 22, Torino","corso Unione Sovietica, 218bis, Torino",3.83
"Via Verdi, 10, Torino","corso Unione Sovietica, 218bis, Torino",4.58
"Via Carlo Alberto, 10, Torino","corso Unione Sovietica, 218bis, Torino",14.03
"Via Sant'Ottavio, 20, Torino","corso Unione Sovietica, 218bis, Torino",4.72
"Corso Galileo Ferraris, 29, Torino","corso Unione Sovietica, 218bis, Torino",2.17
"Via Verdi, 25, Torino","corso Unione Sovietica, 218bis, Torino",4.65
"Via Plana, 10, Torino","corso Unione Sovietica, 218bis, Torino",4.31
"Via XX Settembre, 83, Torino","corso Unione Sovietica, 218bis, Torino",4.65
"Regione Gonzole, 10, Orbassano","corso Unione Sovietica, 218bis, Torino",7.5
"Via Ventimiglia, 115, Torino","corso Unione Sovietica, 218bis, Torino",1.9
"Corso Unione Sovietica, 218 bis, Torino","corso Unione Sovietica, 218bis, Torino",0.0
"Via Filadelfia, 73, Torino","corso Unione Sovietica, 218bis, Torino",1.56
"Corso Massimo D'Azeglio, 15/b, Torino","corso Unione Sovietica, 218bis, Torino",2.68
"Via Pietro Giuria, 15, Torino","corso Unione Sovietica, 218bis, Torino",2.57
"Via Michelangelo, 25, Torino","corso Unione Sovietica, 218bis, Torino",6.16
"Via Sant'Ottavio, 54, Torino","corso Unione Sovietica, 218bis, Torino",5.14
"Corso Regina Margherita, 60, Torino","Via Ventimiglia, 115, Torino",5.56
"Corso S.Maurizio 31/a, Torino","Via Ventimiglia, 115, Torino",5.34
"Largo Paolo Braccini, 2, Grugliasco","Via Ventimiglia, 115, Torino",7.59
"Via Quarello, 15/A, Torino","Via Ventimiglia, 115, Torino",4.25
"Via Po, 30, Torino","Via Ventimiglia, 115, Torino",4.84
"Via Ventimiglia, 115, Torino","Via XX Settembre, 15, Torino",4.39
"Piazza Castello, 9, Torino","Via Ventimiglia, 115, Torino",5.02
"Via Nizza, 262, Torino","Via Ventimiglia, 115, Torino",0.7
"Via San Giacomo, 2, Beinasco","Via Ventimiglia, 115, Torino",5.83
"Corso Massimo D'Azeglio, 50, Torino","Via Ventimiglia, 115, Torino",2.78
"Corso Massimo D'Azeglio, 52, Torino","Via Ventimiglia, 115, Torino",2.7
"Corso Raffaello, 30, Torino","Via Ventimiglia, 115, Torino",2.82
"Via Pietro Giuria, 7, Torino","Via Ventimiglia, 115, Torino",2.92
"Via Pessinetto, 12, Torino","Via Ventimiglia, 115, Torino",7.1
"Via Michelangelo, 27, Torino","Via Ventimiglia, 115, Torino",2.76
"Via Valperga Caluso, 35, Torino","Via Ventimiglia, 115, Torino",3.05
"Via Ventimiglia, 115, Torino","Viale Pier Andrea Mattioli, 25, Torino",3.46
"Via Pietro Giuria, 9, Torino","Via Ventimiglia, 115, Torino",2.89
"Via Gabriele Chiabrera, 27, Torino","Via Ventimiglia, 115, Torino",2.23
"Via Po, 18, Torino","Via Ventimiglia, 115, Torino",4.92
"Corso Regina Margherita, 211, Torino","Via Ventimiglia, 115, Torino",6.31
"Via Montebello, 28 bis, Torino","Via Ventimiglia, 115, Torino",5.31
"Corso Massimo D'Azeglio, 42, Torino","Via Ventimiglia, 115, Torino",3.09
"Via Antonio Rosmini, 4/a, Torino","Via Ventimiglia, 115, Torino",2.5
"Via Nizza, 230, Torino","Via Ventimiglia, 115, Torino",0.77
"Via Nizza, 52, Torino","Via Ventimiglia, 115, Torino",2.66
"Corso Bramante, 88, Torino","Via Ventimiglia, 115, Torino",1.73
"Corso Achille Mario Dogliotti, 14, Torino","Via Ventimiglia, 115, Torino",1.65
"Corso Dogliotti, 38, Torino","Via Ventimiglia, 115, Torino",1.49
"Via Cherasco, 11, Torino","Via Ventimiglia, 115, Torino",1.42
"Via Cherasco, 15, Torino","Via Ventimiglia, 115, Torino",1.37
"Via Genova, 3, Torino","Via Ventimiglia, 115, Torino",1.65
"Via Santena, 5 bis, Torino","Via Ventimiglia, 115, Torino",1.25
"Via Santena, 7, Torino","Via Ventimiglia, 115, Torino",1.26
"Via Santena, 9, Torino","Via Ventimiglia, 115, Torino",1.26
"Via Ventimiglia, 115, Torino","Via Zuretti, 29, Torino",0.83
"Via Juvarra, 19, Torino","Via Ventimiglia, 115, Torino",5.33
"Largo Polonia, 94, Torino","Via Ventimiglia, 115, Torino",1.04
"Via Cherasco, 23, Torino","Via Ventimiglia, 115, Torino",1.25
"Via Ventimiglia, 115, Torino","Via Ventimiglia, 3, Torino",0.99
"Via Ventimiglia, 115, Torino","Via Ventimiglia, 145, Torino",0.35
"Via Giulia di Barolo, 3/a, Torino","Via Ventimiglia, 115, Torino",4.89
"Via Ventimiglia, 115, Torino","Via dell'Arsenale, 22, Torino",4.53
"Via Ventimiglia, 115, Torino","Via Verdi, 10, Torino",5.0
"Via Carlo Alberto, 10, Torino","Via Ventimiglia, 115, Torino",12.43
"Corso Galileo Ferraris, 29, Torino","Via Ventimiglia, 115, Torino",3.25
"Via Ventimiglia, 115, Torino","Via Verdi, 25, Torino",5.01
"Via Plana, 10, Torino","Via Ventimiglia, 115, Torino",4.54
"Via Ventimiglia, 115, Torino","Via XX Settembre, 83, Torino",5.29
"Regione Gonzole, 10, Orbassano","Via Ventimiglia, 115, Torino",8.85
"Via Ventimiglia, 115, Torino","Via Ventimiglia, 115, Torino",0.0
"Corso Unione Sovietica, 218 bis, Torino","Via Ventimiglia, 115, Torino",1.9
"Via Filadelfia, 73, Torino","Via Ventimiglia, 115, Torino",3.45
"Corso Massimo D'Azeglio, 15/b, Torino","Via Ventimiglia, 115, Torino",2.72
"Via Pietro Giuria, 15, Torino","Via Ventimiglia, 115, Torino",2.71
"Via Michelangelo, 25, Torino","Via Ventimiglia, 115, Torino",8.02
"Via Sant'Ottavio, 54, Torino","Via Ventimiglia, 115, Torino",5.42
"Corso Regina Margherita, 60, Torino","Palazzo Campana, Torino",1.06
"Corso S.Maurizio 31/a, Torino","Palazzo Campana, Torino",0.72
"Lungo Dora Siena, 100, Torino","Palazzo Campana, Torino",1.25
"Largo Paolo Braccini, 2, Grugliasco","Palazzo Campana, Torino",7.38
"Palazzo Campana, Torino","Via Quarello, 15/A, Torino",7.79
"Palazzo Campana, Torino","Via Po, 30, Torino",0.48
"Palazzo Campana, Torino","Via XX Settembre, 15, Torino",0.58
"Palazzo Campana, Torino","Piazza Castello, 9, Torino",0.24
"Palazzo Campana, Torino","Via Nizza, 262, Torino",4.24
"Palazzo Campana, Torino","Via San Giacomo, 2, Beinasco",8.27
"Palazzo Campana, Torino","Via Sant'Ottavio, 18, Torino",0.68
"Corso Massimo D'Azeglio, 50, Torino","Palazzo Campana, Torino",2.01
"Corso Massimo D'Azeglio, 52, Torino","Palazzo Campana, Torino",2.09
"Corso Raffaello, 30, Torino","Palazzo Campana, Torino",1.97
"Palazzo Campana, Torino","Via Pietro Giuria, 7, Torino",1.87
"Palazzo Campana, Torino","Via Pietro Giuria, 1, Torino",1.8
"Palazzo Campana, Torino","Via Pessinetto, 12, Torino",3.21
"Palazzo Campana, Torino","Via Michelangelo, 27, Torino",2.04
"Palazzo Campana, Torino","Via Valperga Caluso, 35, Torino",1.74
"Palazzo Campana, Torino","Viale Pier Andrea Mattioli, 25, Torino",1.41
"Palazzo Campana, Torino","Via Pietro Giuria, 9, Torino",1.9
"Palazzo Campana, Torino","Via Gabriele Chiabrera, 27, Torino",2.58
"Palazzo Campana, Torino","Via Po, 18, Torino",0.35
"Corso Regina Margherita, 211, Torino","Palazzo Campana, Torino",2.43
"Palazzo Campana, Torino","Via Montebello, 28 bis, Torino",0.75
"Corso Massimo D'Azeglio, 42, Torino","Palazzo Campana, Torino",1.71
"Palazzo Campana, Torino","Via Antonio Rosmini, 4/a, Torino",2.35
"Palazzo Campana, Torino","Via Nizza, 230, Torino",4.18
"Palazzo Campana, Torino","Via Nizza, 52, Torino",2.18
"Corso Bramante, 88, Torino","Palazzo Campana, Torino",3.06
"Corso Achille Mario Dogliotti, 14, Torino","Palazzo Campana, Torino",3.14
"Corso Dogliotti, 38, Torino","Palazzo Campana, Torino",3.3
"Palazzo Campana, Torino","Via Cherasco, 11, Torino",3.37
"Palazzo Campana, Torino","Via Cherasco, 15, Torino",3.41
"Palazzo Campana, Torino","Via Genova, 3, Torino",3.14
"Palazzo Campana, Torino","Via Santena, 5 bis, Torino",3.53
"Palazzo Campana, Torino","Via Santena, 7, Torino",3.53
"Palazzo Campana, Torino","Via Santena, 9, Torino",3.53
"Palazzo Campana, Torino","Via Zuretti, 29, Torino",3.97
"Palazzo Campana, Torino","Via Juvarra, 19, Torino",1.37
"Largo Polonia, 94, Torino","Palazzo Campana, Torino",3.76
"Palazzo Campana, Torino","Via Cherasco, 23, Torino",3.54
"Palazzo Campana, Torino","Via Ventimiglia, 3, Torino",3.79
"Palazzo Campana, Torino","Via Ventimiglia, 145, Torino",5.12
"Palazzo Campana, Torino","Via Giulia di Barolo, 3/a, Torino",0.78
"Palazzo Campana, Torino","Via dell'Arsenale, 22, Torino",0.57
"Palazzo Campana, Torino","Via Verdi, 10, Torino",0.36
"Palazzo Campana, Torino","Via Carlo Alberto, 10, Torino",12.68
"Palazzo Campana, Torino","Via Sant'Ottavio, 20, Torino",0.67
"Corso Galileo Ferraris, 29, Torino","Palazzo Campana, Torino",2.2
"Palazzo Campana, Torino","Via Verdi, 25, Torino",0.48
"Palazzo Campana, Torino","Via Plana, 10, Torino",0.66
"Palazzo Campana, Torino","Via XX Settembre, 83, Torino",0.55
"Palazzo Campana, Torino","Regione Gonzole, 10, Orbassano",10.99
"Palazzo Campana, Torino","Via Ventimiglia, 115, Torino",4.78
"Corso Unione Sovietica, 218 bis, Torino","Palazzo Campana, Torino",4.27
"Palazzo Campana, Torino","Via Filadelfia, 73, Torino",4.72
"Corso Massimo D'Azeglio, 15/b, Torino","Palazzo Campana, Torino",2.09
"Palazzo Campana, Torino","Via Pietro Giuria, 15, Torino",2.08
"Palazzo Campana, Torino","Via Michelangelo, 25, Torino",8.08
"Palazzo Campana, Torino","Via Sant'Ottavio, 54, Torino",0.99
"Corso Massimo D'Azeglio, 52, Torino","Corso Regina Margherita, 60, Torino",2.87
"Corso Massimo D'Azeglio, 52, Torino","Corso S.Maurizio 31/a, Torino",2.64
"Corso Massimo D'Azeglio, 52, Torino","Largo Paolo Braccini, 2, Grugliasco",7.25
"Corso Massimo D'Azeglio, 52, Torino","Via Quarello, 15/A, Torino",6.14
"Corso Massimo D'Azeglio, 52, Torino","Via Po, 30, Torino",2.14
"Corso Massimo D'Azeglio, 52, Torino","Via XX Settembre, 15, Torino",1.77
"Corso Massimo D'Azeglio, 52, Torino","Piazza Castello, 9, Torino",2.33
"Corso Massimo D'Azeglio, 52, Torino","Via Nizza, 262, Torino",2.21
"Corso Massimo D'Azeglio, 52, Torino","Via San Giacomo, 2, Beinasco",7.04
"Corso Massimo D'Azeglio, 50, Torino","Corso Massimo D'Azeglio, 52, Torino",0.08
"Corso Massimo D'Azeglio, 52, Torino","Corso Massimo D'Azeglio, 52, Torino",0.0
"Corso Massimo D'Azeglio, 52, Torino","Corso Raffaello, 30, Torino",0.12
"Corso Massimo D'Azeglio, 52, Torino","Via Pietro Giuria, 7, Torino",0.22
"Corso Massimo D'Azeglio, 52, Torino","Via Pessinetto, 12, Torino",4.8
"Corso Massimo D'Azeglio, 52, Torino","Via Michelangelo, 27, Torino",0.06
"Corso Massimo D'Azeglio, 52, Torino","Via Valperga Caluso, 35, Torino",0.35
"Corso Massimo D'Azeglio, 52, Torino","Viale Pier Andrea Mattioli, 25, Torino",0.78
"Corso Massimo D'Azeglio, 52, Torino","Via Pietro Giuria, 9, Torino",0.19
"Corso Massimo D'Azeglio, 52, Torino","Via Gabriele Chiabrera, 27, Torino",0.49
"Corso Massimo D'Azeglio, 52, Torino","Via Po, 18, Torino",2.22
"Corso Massimo D'Azeglio, 52, Torino","Corso Regina Margherita, 211, Torino",3.98
"Corso Massimo D'Azeglio, 52, Torino","Via Montebello, 28 bis, Torino",2.61
"Corso Massimo D'Azeglio, 42, Torino","Corso Massimo D'Azeglio, 52, Torino",0.39
"Corso Massimo D'Azeglio, 52, Torino","Via Antonio Rosmini, 4/a, Torino",0.61
"Corso Massimo D'Azeglio, 52, Torino","Via Nizza, 230, Torino",2.16
"Corso Massimo D'Azeglio, 52, Torino","Via Nizza, 52, Torino",0.51
"Corso Bramante, 88, Torino","Corso Massimo D'Azeglio, 52, Torino",0.99
"Corso Achille Mario Dogliotti, 14, Torino","Corso Massimo D'Azeglio, 52, Torino",1.05
"Corso Dogliotti, 38, Torino","Corso Massimo D'Azeglio, 52, Torino",1.21
"Corso Massimo D'Azeglio, 52, Torino","Via Cherasco, 11, Torino",1.31
"Corso Massimo D'Azeglio, 52, Torino","Via Cherasco, 15, Torino",1.35
"Corso Massimo D'Azeglio, 52, Torino","Via Genova, 3, Torino",1.11
"Corso Massimo D'Azeglio, 52, Torino","Via Santena, 5 bis, Torino",1.45
"Corso Massimo D'Azeglio, 52, Torino","Via Santena, 7, Torino",1.44
"Corso Massimo D'Azeglio, 52, Torino","Via Santena, 9, Torino",1.44
"Corso Massimo D'Azeglio, 52, Torino","Via Zuretti, 29, Torino",1.88
"Corso Massimo D'Azeglio, 52, Torino","Via Juvarra, 19, Torino",2.87
"Corso Massimo D'Azeglio, 52, Torino","Largo Polonia, 94, Torino",1.67
