Degree Code,Degree Name,Degree Department,Degree Level,Number of Students,Number of Assignments,Mean Distance,"(0, 0.5)","(0.5, 1)","(1, 2)","(2, 3)","(3, 4)","(4, 5)","(5, 20)"
1003M21,LINGUE PER LO SVILUPPO TURISTICO DEL TERRITORIO ,Lingue e letterature straniere e culture moderne,II,342,8,0.0,8,0,0,0,0,0,0
1007M21,ENGLISH AND AMERICAN STUDIES,Lingue e letterature straniere e culture moderne,II,335,8,0.0,8,0,0,0,0,0,0
012501,LINGUE E LETTERATURE MODERNE,Lingue e letterature straniere e culture moderne,II,335,8,0.0,8,0,0,0,0,0,0
012503,LINGUE STRANIERE PER LA COMUNICAZIONE INTERNAZIONALE,Lingue e letterature straniere e culture moderne,II,335,8,0.34,7,0,0,1,0,0,0
012505,TRADUZIONE,Lingue e letterature straniere e culture moderne,II,335,8,0.0,8,0,0,0,0,0,0
070724,TECNICHE DELLA PREVENZIONE NELL AMBIENTE E NEI LUOGHI DI LAVORO,Scienze della sanità pubblica e pediatriche,I,320,12,0.36,6,6,0,0,0,0,0
070709,TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA,Scienze della sanità pubblica e pediatriche,I,320,12,0.52,2,10,0,0,0,0,0
005501,FILOSOFIA,Filosofia e Scienze dell'Educazione,II,309,8,0.4,7,0,1,0,0,0,0
001717,SCIENZE E TECNOLOGIE AGRARIE,"Scienze agrarie, forestali e alimentari",I,295,12,0.0,12,0,0,0,0,0,0
001711,SCIENZE FORESTALI E AMBIENTALI,"Scienze agrarie, forestali e alimentari",I,295,12,0.0,12,0,0,0,0,0,0
1706L31,SCIENZE E TECNOLOGIE PER LA MONTAGNA,"Scienze agrarie, forestali e alimentari",I,295,12,0.0,12,0,0,0,0,0,0
001703,TECNOLOGIE ALIMENTARI,"Scienze agrarie, forestali e alimentari",I,295,12,0.0,12,0,0,0,0,0,0
001702,VITICOLTURA ED ENOLOGIA,"Scienze agrarie, forestali e alimentari",I,295,12,0.0,12,0,0,0,0,0,0
005503,ANTROPOLOGIA CULTURALE ED ETNOLOGIA,"Culture, politica e società",II,270,8,0.29,7,0,0,1,0,0,0
0401M22,AREA & GLOBAL STUDIES FOR INTERNATIONAL COOPERATION,"Culture, politica e società",II,270,8,0.87,5,0,0,3,0,0,0
009506,COMUNICAZIONE PUBBLICA E POLITICA,"Culture, politica e società",II,270,8,0.29,7,0,0,1,0,0,0
0304M21,"COMUNICAZIONE, ICT E MEDIA","Culture, politica e società",II,270,8,0.29,7,0,0,1,0,0,0
0309M21,ECONOMIC ANALYSIS AND POLICY,"Culture, politica e società",II,270,8,0.0,8,0,0,0,0,0,0
009505,POLITICHE E SERVIZI SOCIALI,"Culture, politica e società",II,270,8,0.29,7,0,0,1,0,0,0
009507,SCIENZE DEL GOVERNO,"Culture, politica e società",II,270,8,0.0,8,0,0,0,0,0,0
009501,SCIENZE INTERNAZIONALI,"Culture, politica e società",II,270,8,0.29,7,0,0,1,0,0,0
090504,SOCIOLOGIA,"Culture, politica e società",II,270,8,0.0,8,0,0,0,0,0,0
005506,COMUNICAZIONE E CULTURE DEI MEDIA,Filosofia e Scienze dell'Educazione,II,263,8,0.3,8,0,0,0,0,0,0
006505,SCIENZE PEDAGOGICHE,Filosofia e Scienze dell'Educazione,II,259,8,0.3,8,0,0,0,0,0,0
2403M21,Scienze delle Attività Motorie Preventive e Adattate,Scienze mediche,II,245,8,0.33,8,0,0,0,0,0,0
007701,BIOTECNOLOGIE MEDICHE,Scienze mediche,II,245,8,0.33,8,0,0,0,0,0,0
006507,PROGRAMMAZIONE E GESTIONE DEI SERVIZI EDUCATIVI E FORMATIVI,Filosofia e Scienze dell'Educazione,II,210,8,0.04,8,0,0,0,0,0,0
008715,OTTICA E OPTOMETRIA,Fisica,I,205,12,0.03,12,0,0,0,0,0,0
008538,MATEMATICA,"Matematica ""Giuseppe Peano""",II,199,8,0.56,4,4,0,0,0,0,0
1203M21,STOCHASTICS AND DATA SCIENCE,"Matematica ""Giuseppe Peano""",II,199,8,0.56,4,4,0,0,0,0,0
008510,FISICA,Fisica,II,189,8,0.06,8,0,0,0,0,0,0
290501,FISICA DEI SISTEMI COMPLESSI,Fisica,II,189,8,0.1,8,0,0,0,0,0,0
2303M21,ECONOMIA E MANAGEMENT,Scienze economico-sociali e matematico-statistiche,II,189,8,0.0,8,0,0,0,0,0,0
2304M22,ECONOMICS,Scienze economico-sociali e matematico-statistiche,II,182,8,0.0,8,0,0,0,0,0,0
102512,QUANTITATIVE FINANCE AND INSURANCE  - FINANZA QUANTITATIVA E ASSICURAZIONI,Scienze economico-sociali e matematico-statistiche,II,182,8,0.0,8,0,0,0,0,0,0
003701,TECNICHE ERBORISTICHE,Scienza e tecnologia del farmaco,I,180,12,0.05,12,0,0,0,0,0,0
0703M21,EUROPEAN LEGAL STUDIES ,Giurisprudenza,II,178,8,0.0,8,0,0,0,0,0,0
0205M21,CHIMICA,Chimica,II,175,8,0.13,8,0,0,0,0,0,0
071505,SCIENZE RIABILITATIVE DELLE PROFESSIONI SANITARIE,Scienze cliniche e biologiche,II,161,8,0.0,8,0,0,0,0,0,0
070706,FISIOTERAPIA,Scienze chirurgiche,I,160,12,0.33,10,2,0,0,0,0,0
1904M21,SCIENZE DELLO SPORT,Scienze Cliniche e Biologiche,II,157,8,0.0,8,0,0,0,0,0,0
2502L31,TECNICHE DI ASSISTENZA VETERINARIA,Scienze veterinarie,I,155,12,0.0,12,0,0,0,0,0,0
008540,CHIMICA INDUSTRIALE,Chimica,II,146,8,0.05,8,0,0,0,0,0,0
070720,IGIENE DENTALE,Scienze chirurgiche,I,145,12,0.18,12,0,0,0,0,0,0
070707,LOGOPEDIA,Scienze chirurgiche,I,145,12,0.2,12,0,0,0,0,0,0
070708,ORTOTTICA ED ASSISTENZA OFTALMOLOGICA,Scienze chirurgiche,I,145,12,0.26,11,1,0,0,0,0,0
070705,OSTETRICIA ,Scienze chirurgiche,I,145,12,0.19,12,0,0,0,0,0,0
070710,TECNICHE AUDIOMETRICHE ,Scienze chirurgiche,I,145,12,0.18,11,1,0,0,0,0,0
070716,TECNICHE AUDIOPROTESICHE,Scienze chirurgiche,I,145,12,0.23,12,0,0,0,0,0,0
070718,DIETISTICA,Scienze mediche,I,145,12,0.2,12,0,0,0,0,0,0
2501L31,SISTEMI ZOOTECNICI SOSTENIBILI,Scienze veterinarie,I,145,12,0.0,12,0,0,0,0,0,0
056502,BIOTECNOLOGIE VEGETALI,"Scienze agrarie, forestali e alimentari",II,143,8,0.0,8,0,0,0,0,0,0
008527,"CHIMICA CLINICA, FORENSE E DELLO SPORT",Chimica,II,139,8,0.06,8,0,0,0,0,0,0
008520,CHIMICA DELL'AMBIENTE,Chimica,II,139,8,0.09,8,0,0,0,0,0,0
0208M21-23,MATERIALS SCIENCE,Chimica,II,139,8,0.07,8,0,0,0,0,0,0
0403M21,"ECONOMIA DELL'AMBIENTE, DELLA CULTURA E DEL TERRITORIO","Economia e Statistica ""Cognetti de Martiis""",II,136,8,0.0,8,0,0,0,0,0,0
0404M21,ECONOMICS OF INNOVATION FOR SUSTAINABLE DEVELOPMENT ,"Economia e Statistica ""Cognetti de Martiis""",II,136,8,0.0,8,0,0,0,0,0,0
0402M21,METODI STATISTICI ED ECONOMICI PER LE DECISIONI,"Economia e Statistica ""Cognetti de Martiis""",II,136,8,0.0,8,0,0,0,0,0,0
001501,SCIENZE AGRARIE,"Scienze agrarie, forestali e alimentari",II,136,8,0.0,8,0,0,0,0,0,0
1707M21,SCIENZE ANIMALI,"Scienze agrarie, forestali e alimentari",II,136,8,0.0,8,0,0,0,0,0,0
001503,SCIENZE E TECNOLOGIE ALIMENTARI,"Scienze agrarie, forestali e alimentari",II,136,8,0.0,8,0,0,0,0,0,0
1708M22,SCIENZE DEI SISTEMI FORESTALI E DELL'AMBIENTE,"Scienze agrarie, forestali e alimentari",II,136,8,0.0,8,0,0,0,0,0,0
290511,SCIENZE VITICOLE ED ENOLOGICHE,"Scienze agrarie, forestali e alimentari",II,136,8,0.0,8,0,0,0,0,0,0
2711M22,"CAM - CINEMA, ARTI DELLA SCENA, MUSICA E MEDIA",Studi umanistici,II,136,8,0.0,8,0,0,0,0,0,0
008508,BIOLOGIA DELL'AMBIENTE,Scienze della vita e biologia dei sistemi,II,132,8,0.43,8,0,0,0,0,0,0
005509,"LETTERATURA, FILOLOGIA E LINGUISTICA ITALIANA",Studi umanistici,II,132,8,0.05,8,0,0,0,0,0,0
008535,BIOTECNOLOGIE INDUSTRIALI,Scienze della vita e biologia dei sistemi,II,125,8,0.43,8,0,0,0,0,0,0
2201M21,CELLULAR AND MOLECULAR BIOLOGY-BIOLOGIA CELLULARE E MOLECOLARE,Scienze della vita e biologia dei sistemi,II,125,8,0.43,8,0,0,0,0,0,0
008530,EVOLUZIONE DEL COMPORTAMENTO ANIMALE E DELL'UOMO,Scienze della vita e biologia dei sistemi,II,125,8,0.03,8,0,0,0,0,0,0
090506,SCIENZE DEGLI ALIMENTI E DELLA NUTRIZIONE UMANA,Scienze della vita e biologia dei sistemi,II,125,8,0.03,8,0,0,0,0,0,0
2205M22,SCIENZE DEI SISTEMI NATURALI,Scienze della vita e biologia dei sistemi,II,125,8,0.03,8,0,0,0,0,0,0
008710,SCIENZE GEOLOGICHE,Scienze della terra,I,120,12,0.0,12,0,0,0,0,0,0
005512,CULTURE MODERNE COMPARATE,Studi umanistici,II,118,8,0.03,8,0,0,0,0,0,0
005508,"FILOLOGIA, LETTERATURE E STORIA DELL'ANTICHITÀ",Studi umanistici,II,118,8,0.03,8,0,0,0,0,0,0
2706M21,LINGUE DELL'ASIA E DELL'AFRICA PER LA COMUNICAZIONE E LA COOPERAZIONE INTERNAZIONALE,Studi umanistici,II,118,8,0.04,8,0,0,0,0,0,0
005502,SCIENZE LINGUISTICHE,Studi umanistici,II,118,8,0.04,8,0,0,0,0,0,0
070713,"TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA",Oncologia,I,95,12,0.0,12,0,0,0,0,0,0
090512,CONSERVAZIONE E RESTAURO DEI BENI CULTURALI,Studi storici,CU,86,20,0.0,20,0,0,0,0,0,0
